,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ccp_alpha,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,mean_test_error,std_test_error,delta
24,0.0056610584259033205,0.00011686386710916965,0.0008470535278320313,9.07920989377321e-06,0.005,50,"{'ccp_alpha': 0.005, 'max_depth': 50}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
25,0.005640602111816407,0.00010515665967967183,0.0008649349212646485,1.568743522310858e-05,0.005,75,"{'ccp_alpha': 0.005, 'max_depth': 75}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
26,0.0056397438049316405,0.00010037001965712958,0.0008542060852050782,2.263816737345403e-05,0.005,100,"{'ccp_alpha': 0.005, 'max_depth': 100}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
27,0.005624055862426758,0.00010679449218116317,0.0008522987365722657,2.0597709483254308e-05,0.005,150,"{'ccp_alpha': 0.005, 'max_depth': 150}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
28,0.0056384563446044925,0.0001151001934357982,0.0008473873138427734,7.430708132111937e-06,0.005,200,"{'ccp_alpha': 0.005, 'max_depth': 200}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
29,0.005639553070068359,0.0001029546527704188,0.0008569240570068359,1.8048396670812395e-05,0.005,500,"{'ccp_alpha': 0.005, 'max_depth': 500}",0.640625,0.6328125,0.5859375,0.6015625,0.6039215686274509,0.6129718137254903,0.020500170914437416,13,-0.6129718137254903,0.020500170914437416,0.020500170914437416
30,0.0016482353210449218,2.535608210331992e-05,0.0008333683013916016,2.5554468069077254e-05,0.01,1,"{'ccp_alpha': 0.01, 'max_depth': 1}",0.54296875,0.546875,0.58984375,0.546875,0.5725490196078431,0.5598223039215686,0.01834428605458158,66,-0.5598223039215686,0.01834428605458158,0.01834428605458158
31,0.0020533084869384767,6.424750348454355e-06,0.0008335113525390625,2.103657254676157e-05,0.01,2,"{'ccp_alpha': 0.01, 'max_depth': 2}",0.54296875,0.546875,0.56640625,0.546875,0.5686274509803921,0.5543504901960784,0.010867224769195117,192,-0.5543504901960784,0.010867224769195117,0.010867224769195117
32,0.003466939926147461,2.685596657963475e-05,0.0008342266082763672,6.024021796170714e-06,0.01,5,"{'ccp_alpha': 0.01, 'max_depth': 5}",0.56640625,0.59375,0.64453125,0.5625,0.6039215686274509,0.5942218137254902,0.02968274341434814,27,-0.5942218137254902,0.02968274341434814,0.02968274341434814
33,0.005266809463500976,6.160056959578443e-05,0.0008406639099121094,8.549891031761697e-06,0.01,10,"{'ccp_alpha': 0.01, 'max_depth': 10}",0.578125,0.5625,0.625,0.5625,0.6039215686274509,0.5864093137254902,0.024526967029940984,41,-0.5864093137254902,0.024526967029940984,0.024526967029940984
34,0.005673360824584961,0.00010043048640846686,0.0008450031280517578,8.063202140355765e-06,0.01,15,"{'ccp_alpha': 0.01, 'max_depth': 15}",0.578125,0.5625,0.625,0.5625,0.6039215686274509,0.5864093137254902,0.024526967029940984,41,-0.5864093137254902,0.024526967029940984,0.024526967029940984
35,0.005696773529052734,0.00011050293481790824,0.000847768783569336,2.7074946530491617e-06,0.01,20,"{'ccp_alpha': 0.01, 'max_depth': 20}",0.578125,0.5625,0.625,0.5625,0.6039215686274509,0.5864093137254902,0.024526967029940984,41,-0.5864093137254902,0.024526967029940984,0.024526967029940984
36,0.005704259872436524,0.000110538382022837,0.0008448123931884766,1.1673846243361935e-05,0.01,25,"{'ccp_alpha': 0.01, 'max_depth': 25}",0.578125,0.5625,0.625,0.5625,0.6039215686274509,0.5864093137254902,0.024526967029940984,41,-0.5864093137254902,0.024526967029940984,0.024526967029940984
